"wage","education","experience","age","female","region"
29.0805179761565,19,7,32,0,"South"
31.9664793909378,12,18,36,1,"North"
32.9101896037894,12,20,38,0,"South"
40.1069890647912,15,31,52,0,"West"
24.7559493415684,17,14,37,0,"North"
53.7077176158951,17,25,48,0,"North"
33.2563015424309,20,0,26,0,"West"
49.9644017043968,14,23,43,1,"North"
50.1927291530945,11,36,53,1,"North"
22.6083061000136,11,21,38,0,"West"
15.4320896084595,12,20,38,0,"North"
31.1386283580383,15,14,35,1,"South"
41.4350504693433,15,11,32,1,"South"
36.7551059580804,20,2,28,0,"West"
47.9820936152783,18,18,42,1,"South"
31.8871439229196,11,42,59,1,"North"
49.0648314321895,17,27,50,1,"South"
23.4240948024022,12,18,36,0,"West"
30.1591734656378,19,8,33,0,"South"
29.1314321739279,11,22,39,0,"West"
22.4232781801453,11,14,31,1,"South"
14.9777447568512,10,38,54,0,"North"
22.6533434977567,10,34,50,0,"West"
31.4227463787425,10,28,44,1,"West"
24.8407488325983,12,9,27,1,"North"
20.2978388435489,12,9,27,0,"South"
21.3594469258723,14,33,53,0,"West"
72.7761560639939,15,37,58,1,"North"
51.5207995508063,17,25,48,1,"West"
35.5991889679437,19,33,58,0,"South"
43.9362012146637,14,13,33,1,"North"
106.040413095531,16,16,38,1,"North"
53.1334127823152,20,18,44,0,"West"
49.4495594769364,19,7,32,0,"West"
21.1297055610017,13,20,39,0,"South"
24.2688238311285,16,28,50,0,"West"
44.2000719726601,18,30,54,0,"West"
33.1868519810987,13,17,36,1,"South"
18.7333042204034,15,6,27,0,"South"
20.2223126573857,11,20,37,0,"South"
83.7338786749611,18,18,42,1,"West"
37.6322798994776,14,26,46,1,"North"
89.4123002706971,19,19,44,1,"West"
17.1835976482569,12,32,50,0,"South"
31.721628953083,11,9,26,1,"North"
99.6605979105192,18,22,46,1,"West"
46.9584673162182,19,18,43,1,"South"
31.8149485569884,12,25,43,1,"North"
47.7702511913702,18,19,43,0,"West"
32.009014732174,19,28,53,0,"North"
