"state","period","fatality_rate"
"Fairfield","After",10.6
"Fairfield","After",11.4
"Greendale","After",14.5
"Greendale","Before",17.9
"Greendale","After",14
"Fairfield","Before",14.5
"Greendale","After",19.6
"Fairfield","Before",15.3
"Greendale","Before",14.7
"Greendale","After",18.1
"Fairfield","Before",13.3
"Fairfield","Before",10.2
"Fairfield","After",5.3
"Fairfield","After",6.4
"Fairfield","Before",16.5
"Fairfield","Before",13.8
"Fairfield","After",13.3
"Fairfield","Before",7.7
"Fairfield","After",9.9
"Fairfield","After",9.7
"Fairfield","Before",12.3
"Fairfield","After",8.8
"Fairfield","After",11.1
"Greendale","After",18.4
"Fairfield","Before",10.7
"Fairfield","Before",16.6
"Fairfield","Before",11.2
"Fairfield","Before",7.7
"Fairfield","After",11.7
"Greendale","After",17.5
"Fairfield","After",15.4
"Fairfield","After",7.7
"Fairfield","After",10.9
"Fairfield","Before",8.3
"Fairfield","After",8.8
"Greendale","Before",21.4
"Greendale","Before",13.5
"Fairfield","After",13.7
"Fairfield","After",11.7
"Fairfield","After",10.6
"Fairfield","After",10.2
"Greendale","Before",10.1
"Fairfield","Before",16.3
"Greendale","Before",16.1
"Fairfield","After",9.5
"Fairfield","Before",11.1
"Greendale","After",18.6
"Fairfield","Before",10.2
"Fairfield","Before",16.7
"Fairfield","Before",10.2
"Fairfield","Before",16
"Greendale","After",18.6
"Fairfield","After",13.5
"Fairfield","After",9.8
"Greendale","Before",13.5
"Fairfield","Before",9.1
"Greendale","After",13.6
"Fairfield","Before",9.5
"Greendale","Before",15
"Greendale","Before",13.7
"Greendale","Before",17.1
"Greendale","After",16.6
"Fairfield","After",8.6
"Fairfield","Before",15.3
"Fairfield","After",11.2
"Greendale","After",12.6
"Greendale","Before",17.4
"Fairfield","Before",12.8
"Fairfield","Before",16.5
"Greendale","After",19.4
"Fairfield","Before",11.4
"Fairfield","Before",10.1
"Greendale","After",11.4
"Fairfield","Before",13.5
"Greendale","Before",19.1
"Greendale","Before",11.5
"Fairfield","Before",5.7
"Greendale","After",19.4
"Fairfield","Before",10.9
"Fairfield","After",14.4
"Fairfield","Before",14.9
"Greendale","Before",11.9
"Greendale","Before",17.6
"Fairfield","Before",16.6
"Greendale","Before",14.4
"Fairfield","After",10.2
"Greendale","After",15.2
"Greendale","After",7.3
"Fairfield","Before",18.3
"Fairfield","Before",8
"Greendale","Before",13.3
"Greendale","Before",14.7
"Greendale","After",12.5
"Greendale","Before",10.9
"Greendale","After",15.2
"Fairfield","Before",11.9
"Greendale","Before",12.4
"Greendale","After",13.7
"Greendale","After",14.9
"Greendale","Before",18.2
"Fairfield","Before",16
"Greendale","Before",14.5
"Fairfield","After",11.7
"Fairfield","Before",13.7
"Fairfield","After",8.8
"Greendale","After",14.7
"Fairfield","After",10.2
"Fairfield","After",14.9
"Greendale","Before",11.6
"Greendale","After",14.7
"Fairfield","After",21.5
"Fairfield","Before",17.8
"Fairfield","After",12.7
"Greendale","After",13.3
"Greendale","Before",20.9
"Greendale","After",20.9
"Fairfield","After",8.7
"Fairfield","After",13.9
"Fairfield","Before",17.8
"Greendale","After",15.8
"Greendale","Before",17.2
"Greendale","After",11.4
"Fairfield","After",15.8
"Fairfield","Before",12.2
"Fairfield","Before",10.6
"Fairfield","Before",13
"Fairfield","After",14.9
"Fairfield","After",11.9
"Greendale","Before",18.6
"Fairfield","Before",9.7
"Fairfield","After",12.2
"Fairfield","Before",11.7
"Greendale","After",22.1
"Greendale","Before",14.9
"Greendale","After",10.7
"Greendale","After",18.4
"Fairfield","After",6
"Greendale","After",12.8
"Fairfield","After",9.3
"Greendale","After",17
"Fairfield","Before",16.4
"Greendale","After",9.7
"Greendale","Before",12.5
"Greendale","After",10.9
"Greendale","Before",17
"Fairfield","After",8.2
"Greendale","Before",13.6
"Fairfield","After",11.2
"Fairfield","After",11.6
"Fairfield","After",10.3
"Greendale","Before",17.3
"Greendale","After",17.4
"Greendale","After",15.4
"Greendale","After",14.3
"Greendale","After",18.4
"Greendale","After",17.3
"Greendale","Before",13
"Greendale","After",15.5
"Greendale","Before",14.1
"Greendale","Before",14
"Greendale","Before",11.6
"Fairfield","Before",9.8
"Greendale","After",14.4
"Greendale","Before",13.5
"Fairfield","After",14
"Fairfield","After",6.8
"Greendale","After",10.7
"Fairfield","After",7.8
"Greendale","Before",15.9
"Fairfield","Before",13.3
"Greendale","Before",18.7
"Greendale","After",15.2
"Fairfield","After",12.6
"Greendale","Before",13.4
"Fairfield","Before",16.1
"Fairfield","After",10
"Greendale","Before",12.7
"Greendale","Before",16.9
"Fairfield","Before",12.4
"Fairfield","After",14.9
"Fairfield","Before",4.2
"Greendale","After",14.4
"Greendale","After",16.1
"Greendale","After",19.2
"Fairfield","After",13.1
